PRO_COM,comune,elettori,perc_h12,perc_h19,perc_h22
83050,Militello Rosmarino,1197,10.36,44.7,57.73
83051,Mirto,1174,7.07,34.16,43.36
83052,Mistretta,4612,9.63,39.72,52.36
83053,Moio Alcantara,728,8.52,36.54,48.76
83054,Monforte San Giorgio,2976,8.9,36.29,46
83055,Mongiuffi Melia,573,15.53,55.67,63
83056,Montagnareale,1558,12.64,46.98,59.76
83057,Montalbano Elicona,2659,8.57,37.27,45.2
83058,Motta Camastra,1170,8.38,28.97,42.22
83059,Motta d'Affermo,806,11.17,38.59,46.4
83060,Naso,5024,4.94,26.41,36.13
83061,Nizza Di Sicilia,3530,12.83,42.01,53
83062,Novara Di Sicilia,1758,8.87,36.06,41.41
83063,Oliveri,2542,12.47,40.17,48.11
83064,Pace del Mela,5435,12.4,47.62,58.75
83065,Pagliara,1205,12.61,44.32,52.2
83066,Patti,11893,11.51,43.92,56.66
83067,Pettineo,2681,3.99,19.81,28.27
83068,Piraino,3775,10.23,42.89,54.68
83069,Raccuja,1056,10.89,45.17,53.5
83070,Reitano,811,10.48,34.4,43.28
83071,Roccafiorita,248,7.66,43.95,51.21
83072,Roccalumera,3786,13.92,41.76,52.11
83073,Roccavaldina,1198,7.76,38.15,46.99
83074,Roccella Valdemone,796,3.77,27.26,35.43
83075,Rodì Milici,2073,7.81,38.83,51.13
83076,Rometta,5918,14.48,46.18,57.03
83077,San Filippo del Mela,6307,9.72,43.65,56.65
83078,San Fratello,3676,7.24,35.09,47.61
83079,San Marco d'Alunzio,2113,8.33,37.06,50.26
83080,San Pier Niceto,3572,9.04,35.11,44.2
83081,San Piero Patti,3283,6.49,31.98,41.61
83082,San Salvatore di Fitalia,1583,8.4,32.47,45.17
83090,San Teodoro,1314,9.82,41.1,57.69
83084,Sant'Agata di Militello,11365,12.67,44.21,56.03
83085,Sant'Alessio Siculo,1419,13.25,44.05,55.6
83088,Sant'Angelo di Brolo,3405,9.43,40.65,49.75
83083,Santa Domenica Vittoria,883,11.21,43.26,57.3
83086,Santa Lucia del Mela,4467,9.98,42.44,54
83087,Santa Marina Salina,1044,10.54,27.59,34.1
83089,Santa Teresa di Riva,8453,15.12,48.49,60.55
83091,Santo Stefano di Camastra,4394,11.93,31.86,47.77
83092,Saponara,3652,9.69,41.05,58.57
83093,Savoca,1580,8.35,42.91,54.43
83094,Scaletta Zanclea,2129,12.35,42.93,52.56
83095,Sinagra,3025,9.59,43.14,49.88
83096,Spadafora,4826,14.07,45.69,58.77
83097,Taormina,9723,14.38,41.77,50.03
83106,Terme Vigliatore,6587,10.14,42.02,54.44
83098,Torregrotta,6735,10.85,43.34,54.05
83108,Torrenova,4104,12.89,45,58.41
83099,Tortorici,6018,8.74,44.82,55.33
83100,Tripi,1728,4.92,21.12,25.98
83101,Tusa,3159,7.5,31.75,42.48
83102,Ucria,1184,7.35,41.98,47.47
83103,Valdina,1175,12.51,44.6,56.77
83104,Venetico,3447,13.95,44.18,55.79
83105,Villafranca Tirrena,7641,14.74,47.42,59.36
82001,Alia,4200,5.67,23.02,35.57
82002,Alimena,2614,7.42,29.38,39.14
82003,Aliminusa,1117,5.37,29.99,54.88
82004,Altavilla Milicia,7710,11.54,36.34,44.51
82005,Altofonte,8492,9.41,36.42,50.82
82006,Bagheria,49036,11.24,37.57,47.47
82007,Balestrate,8005,9.02,27.07,32.4
82008,Baucina,2060,8.69,35.97,54.66
82009,Belmonte Mezzagno,9127,7.81,32.75,52.54
82010,Bisacquino,5585,8.61,29.19,45.8
82082,Blufi,1157,7,33.19,47.28
82011,Bolognetta,3653,8.05,35.59,47.3
82012,Bompietro,1565,9.07,34.25,44.86
82013,Borgetto,7602,8.01,30.56,41.65
82014,Caccamo,7485,9.59,38.94,57.74
82015,Caltavuturo,3542,8.22,40.03,59.54
82016,Campofelice di Fitalia,531,7.53,32.77,42.37
82017,Campofelice di Roccella,6813,13,39.98,54.87
82018,Campofiorito,1593,6.59,33.33,44.13
82019,Camporeale,3083,6.68,35.16,50.05
82020,Capaci,10448,10.66,35.6,43.99
82021,Carini,34756,8.6,29.52,36.97
82022,Castelbuono,8180,7.53,29.73,44.08
82023,Casteldaccia,9965,13.13,45.15,55.49
82024,Castellana Sicula,3413,6.89,31.2,44.65
82025,Castronovo di Sicilia,2930,9.11,32.97,50.48
82026,Cefalà Diana,978,9,48.57,61.15
82027,Cefalù,13829,12.13,36.3,47.35
82028,Cerda,4356,9.71,43.48,62.44
82029,Chiusa Sclafani,3072,8.17,29.07,45.57
82030,Ciminna,5167,5.67,27.4,39.73
82031,Cinisi,11742,10.76,37.15,46.88
82032,Collesano,4024,9.1,34.74,48.58
82033,Contessa Entellina,2083,6.82,27.99,39.32
82034,Corleone,10798,6.89,31.68,48.19
82035,Ficarazzi,10638,11.84,35.49,48.33
82036,Gangi,8447,10.8,36.92,51.36
82037,Geraci Siculo,1656,9.78,39.19,56.16
