sezione,votanti,ubicazione,numeroElettori,affluenzaPercentuale
173,417,"SCUOLA SECOND.I GRADO ""GENTILI"" VIA LO JACONO FRANCESCO N.1",907,45.9757442117
94,416,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",905,45.9668508287
465,427,"SCUOLA SECOND.DI I GRADO ""MARCONI"" VIA DI GIORGIO ANTONINO GEN. N.4",929,45.963401507
64,399,"SCUOLA PRIMARIA ""DE STEFANO"" VIA DE STEFANO ANTONINO N.1/C",869,45.914844649
157,337,"SCUOLA SECOND. DI I GRADO ""VERDI"" VIA FERMI ENRICO N.2",734,45.9128065395
42,358,"SCUOLA PRIMARIA ""SUNSERI"" VIA SUNSERI GIUSEPPE N.19",780,45.8974358974
557,411,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",897,45.8193979933
499,427,"SCUOLA SECOND.I GR.E PRIM.""VERDI"" VIA CASELLA ALFREDO N.35",932,45.8154506438
554,394,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",862,45.7076566125
62,421,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",923,45.6121343445
518,431,"SCUOLA SECOND.I GR.""GARIBALDI"" VIA DELLE CROCI N.5",945,45.6084656085
170,503,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",1103,45.6029011786
574,447,"SCUOLA PRIMARIA ""PALAGONIA"" VIA PRINCIPE DI PALAGONIA N.46",981,45.5657492355
405,433,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",951,45.531019979
70,360,"SCUOLA PRIMARIA ""MONTEGRAPPA"" VIA ROCCELLA GUSTAVO N.37",793,45.3972257251
77,296,"SCUOLA PRIMARIA ""BERNINI"" VIA PAPALEO PIETRO N.8",654,45.2599388379
148,442,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",982,45.0101832994
142,486,"SCUOLA SECOND.I GR.""GARIBALDI"" VIA DELLE CROCI N.5",1080,45.0
250,441,"SCUOLA PRIMARIA ""SALGARI"" VIA PARATORE GIUSEPPE N.34",982,44.9083503055
422,378,"SCUOLA SECOND.DI I GRADO ""MARCONI"" VIA DI GIORGIO ANTONINO GEN. N.4",843,44.8398576512
184,345,"SCUOLA PRIMARIA ""RAPISARDI"" VIA CALTANISSETTA N.27",770,44.8051948052
430,462,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",1032,44.7674418605
169,391,"SCUOLA SECOND.I GRADO ""DANTE ALIGHIERI"" VIA MARTURANO RUGGERO N.79",877,44.5838084379
168,382,"SCUOLA PRIMARIA ""UMBERTO GIORDANO"" VIA DAIDONE N.24",857,44.5740956826
355,413,"SCUOLA PRIMARIA ""BRAGAGLIA"" VIA BRAGAGLIA MARINELLA N.23",929,44.4564047363
81,411,"SCUOLA PRIMARIA ""SAN LORENZO"" VIA S.LORENZO N.89",925,44.4324324324
360,434,"SCUOLA PRIMARIA ""VITTORINO DA FELTRE"" Corso Calatafimi n. 1035",977,44.4216990788
512,406,"SCUOLA SEC. 1Â° GRADO ""SALEMI"" VIA SALEMI FRANCESCO GEN. N.22",914,44.420131291
364,445,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",1002,44.4111776447
546,391,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",881,44.38138479
90,406,"SCUOLA PRIMARIA ""SALGARI"" VIA PARATORE GIUSEPPE N.34",917,44.2748091603
200,442,"SCUOLA PRIMARIA ""VERGA"" VIA UDITORE N.21",999,44.2442442442
467,396,"SCUOLA PRIMARIA ""BRAGAGLIA"" VIA BRAGAGLIA MARINELLA N.23",898,44.0979955457
403,378,"SCUOLA SECOND.DI I GRADO ""MARCONI"" VIA DI GIORGIO ANTONINO GEN. N.4",858,44.0559440559
38,343,"SCUOLA PRIMARIA ""DE STEFANO"" VIA DE STEFANO ANTONINO N.1/C",779,44.0308087291
161,365,"SCUOLA SECOND.I GRADO ""DANTE ALIGHIERI"" VIA MARTURANO RUGGERO N.79",829,44.0289505428
123,382,"SCUOLA PRIMARIA ""MONTEGRAPPA"" VIA ROCCELLA GUSTAVO N.37",868,44.0092165899
575,411,"SCUOLA PRIMARIA E INFANZIA ""M.GANDHI"" VIA SARDEGNA N.55",937,43.86339381
561,471,"SCUOLA PRIMARIA E INFANZIA ""M.GANDHI"" VIA SARDEGNA N.55",1074,43.8547486034
497,390,"SCUOLA PRIMARIA ""DI BARTOLO"" LUNGOMARE COLOMBO CRISTOFORO N.240",890,43.8202247191
147,399,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",911,43.7980241493
109,317,"SCUOLA PRIMARIA ""COLLODI"" VIA BRIUCCIA N.89",725,43.724137931
350,415,"SCUOLA SECOND.DI I GRADO ""MARCONI"" VIA DI GIORGIO ANTONINO GEN. N.4",951,43.6382754995
22,404,"SCUOLA SECOND.I GR.E PRIM.""VERDI"" VIA CASELLA ALFREDO N.35",926,43.6285097192
479,401,"SCUOLA SECOND.DI I GRADO ""MARCONI"" VIA DI GIORGIO ANTONINO GEN. N.4",923,43.4452871073
414,455,"SCUOLA SEC. 1Ã?Â° GRADO ""ASTORINO"" VIA ASTORINO GERARDO N.21",1049,43.3746425167
26,337,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",777,43.3719433719
87,375,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",865,43.3526011561
394,529,"SCUOLA PRIMARIA ""RISO"" VIA MONDELLO N.5",1222,43.2896890344
511,441,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",1020,43.2352941176
44,376,"SCUOLA PRIMARIA ""UMBERTO GIORDANO"" VIA DAIDONE N.24",870,43.2183908046
533,366,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",847,43.2113341204
192,437,"SCUOLA SECOND.I GRADO ""ARCHIMEDE"" PIAZZA CASTELNUOVO N.40",1013,43.1391905232
278,349,"ISTITUTO COMPRENSIVO ""FALCONE"" VIA BASILE ERNESTO N.170",810,43.0864197531
128,416,"SCUOLA SECOND.I GRADO ""ARCHIMEDE"" PIAZZA CASTELNUOVO N.40",966,43.0641821946
60,375,"SCUOLA SECOND.I GRADO ""GENTILI"" VIA LO JACONO FRANCESCO N.1",871,43.0539609644
39,415,"SCUOLA PRIMARIA ""GABELLI"" VIA EUGENIO L'EMIRO N.30",964,43.0497925311
451,413,"SCUOLA SECOND.I GR.""TOMASI DI LAMPEDUSA"" VIALE LEONARDO DA VINCI N.504",961,42.9760665973
172,435,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",1015,42.8571428571
108,457,"SCUOLA PRIMARIA E DELL'INF. ""SALERNO"" VIA SALERNO N.19",1067,42.8303655108
92,365,"SCUOLA PRIMARIA ""PALAGONIA"" VIA PRINCIPE DI PALAGONIA N.46",853,42.7901524033
525,465,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",1087,42.7782888684
312,412,"SCUOLA SEC. 1Ã?Â° GRADO ""ASTORINO"" VIA ASTORINO GERARDO N.21",965,42.6943005181
194,400,"SCUOLA PRIMARIA ""NICOLO' TURRISI"" PZZA ORLANDO VITTORIO EMANUELE N.3",938,42.6439232409
432,329,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56",773,42.5614489004
433,502,SCUOLA PRIMARIA SANTOCANALE Via Polibio 1/b,1181,42.5063505504
65,392,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",923,42.4702058505
253,312,"SCUOLA PRIM.E DELL'INF.""BAVIERA"" VIA BAVIERA GIOVANNI N.22",735,42.4489795918
578,465,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",1096,42.4270072993
171,433,"SCUOLA SECOND.I GRADO ""GENTILI"" VIA LO JACONO FRANCESCO N.1",1021,42.4094025465
396,477,"SCUOLA PRIMARIA ""ROSARIO GREGORIO"" VIA MARINAI ALLIATA N.33",1132,42.1378091873
187,345,"SC.SECOND.I GRADO ""DEL FERVORE"" VIA DEL FERVORE N.5",820,42.0731707317
264,493,"SCUOLA PRIMARIA ""TEN. ONORATO"" VIA TACITO N.34",1172,42.0648464164
195,376,SCUOLA DELL'INFANZIA ZS 10 VIA PALAZZOTTO F.P. E G.B. N. 5,894,42.0581655481
369,383,SCUOLA DELL'INFANZIA ZS 10 VIA PALAZZOTTO F.P. E G.B. N. 5,914,41.9037199125
385,491,"SCUOLA PRIMARIA ""TEN. ONORATO"" VIA TACITO N.34",1172,41.8941979522
395,497,"SCUOLA PRIMARIA ""ROSARIO GREGORIO"" VIA MARINAI ALLIATA N.33",1188,41.835016835
423,399,"SCUOLA PRIMARIA ""TOMASINO BARTOLOMEO"" VIA S.MARIA DI GESU' N.89",955,41.780104712
201,358,"SCUOLA PRIMARIA ""NICOLO' TURRISI"" PZZA ORLANDO VITTORIO EMANUELE N.3",857,41.7736289382
208,381,"SCUOLA PRIMARIA ""PALAGONIA"" VIA PRINCIPE DI PALAGONIA N.46",913,41.730558598
262,393,"SCUOLA PRIMARIA ""RIZZO"" VIA SERGIO PAPA I N.21/D",942,41.7197452229
542,455,"SCUOLA PRIMARIA ""GABELLI"" VIA EUGENIO L'EMIRO N.30",1091,41.7048579285
198,350,"SC.SECOND.I GRADO ""DEL FERVORE"" VIA DEL FERVORE N.5",841,41.6171224732
386,349,"SCUOLA PRIMARIA ""TEN. ONORATO"" VIA TACITO N.34",839,41.5971394517
130,366,"SCUOLA PRIMARIA ""NATOLI"" CORSO DEI MILLE N.1486",883,41.449603624
290,368,"SCUOLA PRIMARIA ""ROSOLINO PILO"" VIA LA FRANCA SEBASTIANO N.70",888,41.4414414414
212,421,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",1016,41.437007874
182,328,"SCUOLA PRIMARIA ""RAPISARDI"" VIA CALTANISSETTA N.27",792,41.4141414141
104,393,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",949,41.4120126449
462,423,"SCUOLA SECOND.I GR.""LEONARDO DA VINCI"" VIA SERRADIFALCO N.190",1022,41.3894324853
214,399,"SCUOLA MATERNA COM.LE ""WHITAKER"" VIA GUERRAZZI F.SCO DOMENICO N.1",967,41.2616339193
418,366,"SCUOLA PRIMARIA ""DI BARTOLO"" LUNGOMARE COLOMBO CRISTOFORO N.240",888,41.2162162162
113,418,"SCUOLA ELEMENTARE ""CASTROGIOVANNI"" VIA CRISTODULO AMMMIRAGLIO N.3",1017,41.1012782694
102,355,"SCUOLA SECOND.I GRADO ""DANTE ALIGHIERI"" VIA MARTURANO RUGGERO N.79",864,41.087962963
456,467,"SCUOLA PRIMARIA ""NUOVO PAGLIARELLI"" VIA VILLANI GIOVANNI N.40",1140,40.9649122807
23,395,"SCUOLA PRIMARIA ""ETTORE ARCULEO"" VIA SCHIFANI VITO N.3",965,40.932642487
270,344,"SCUOLA SECOND.DI I GRADO ""MAZZINI"" VIA DE MARIA FEDERICO N.36",841,40.903686088
35,482,SCUOLA PRIMARIA SANTOCANALE Via Polibio 1/b,1179,40.8821034775
80,433,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",1060,40.8490566038
215,423,"SCUOLA SEC. 1Â° GRADO ""SALEMI"" VIA SALEMI FRANCESCO GEN. N.22",1037,40.7907425265
504,417,"SCUOLA PRIMARIA ""VITTORINO DA FELTRE"" Corso Calatafimi n. 1035",1023,40.7624633431
468,389,"SCUOLA PRIMARIA ""VITTORINO DA FELTRE"" Corso Calatafimi n. 1035",955,40.7329842932
40,449,"SCUOLA PRIM.E DELL'INFANZ.""BONANNO"" VIA PITRE' GIUSEPPE N.183",1104,40.6702898551
463,383,"SCUOLA SECOND.I GR.E PRIM.""VERDI"" VIA CASELLA ALFREDO N.35",942,40.6581740977
375,472,"SCUOLA PRIMARIA ""MANTEGNA"" VIA BOLOGNI N.4",1165,40.5150214592
225,373,"SCUOLA PRIMARIA ""ROSOLINO PILO"" VIA LA FRANCA SEBASTIANO N.70",925,40.3243243243
4,464,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1",1152,40.2777777778
276,325,"SCUOLA PRIMARIA ""MEDAGLIE D'ORO"" VIA DEODATO PIER LUIGI N.7",807,40.2726146221
84,384,"SCUOLA DELL'INFANZIA ""JACK LONDON"" VIA LONDON JACK N.1/A",957,40.1253918495
9,432,"SCUOLA PRIMARIA ""MANTEGNA"" VIA BOLOGNI N.4",1077,40.1114206128
125,369,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",921,40.0651465798
233,354,"SCUOLA PRIMARIA E DELL'INF.""IEVOLELLA"" VIA SERRADIFALCO N.3",885,40.0
101,428,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",1073,39.8881640261
190,408,"SCUOLA PRIMARIA ""NUOVO PAGLIARELLI"" VIA VILLANI GIOVANNI N.40",1025,39.8048780488
78,363,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.2 VIA BARISANO DA TRANI N.7",914,39.715536105
541,361,"SCUOLA PRIMARIA ""BRAGAGLIA"" VIA BRAGAGLIA MARINELLA N.23",911,39.6267837541
472,360,"SCUOLA SECOND.I GR.""TOMASI DI LAMPEDUSA"" VIALE LEONARDO DA VINCI N.504",909,39.603960396
545,354,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56",895,39.5530726257
131,325,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",824,39.4417475728
11,478,"SCUOLA PRIMARIA ""ANDREA SOLE"" VIA MOLARA N.30",1215,39.341563786
362,496,"SCUOLA PRIMARIA ""ANDREA SOLE"" VIA MOLARA N.30",1263,39.2715756136
539,316,"SCUOLA PRIMARIA ""AMARI"" VIA INGRASSIA GIAN FILIPPO N.33",805,39.2546583851
420,399,"SCUOLA PRIMARIA ""RIZZO"" VIA SERGIO PAPA I N.21/D",1017,39.2330383481
152,342,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",873,39.175257732
459,337,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",861,39.1405342625
17,315,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",808,38.9851485149
49,325,"SCUOLA DELL'INFANZIA ""DIAZ VECCHIO"" VIA REGINA MARIA DI SICILIA N.7",834,38.96882494
387,458,"SCUOLA PRIMARIA ""TEN. ONORATO"" VIA TACITO N.34",1176,38.9455782313
530,340,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",874,38.9016018307
413,431,"SCUOLA SEC. 1Ã?Â° GRADO ""ASTORINO"" VIA ASTORINO GERARDO N.21",1109,38.8638412985
415,458,"SCUOLA SEC. 1Ã?Â° GRADO ""ASTORINO"" VIA ASTORINO GERARDO N.21",1181,38.7806943268
336,383,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",992,38.6088709677
79,411,"SCUOLA DELL'INFANZIA ""JACK LONDON"" VIA LONDON JACK N.1/A",1067,38.519212746
239,389,"SCUOLA MATERNA COM.LE ""WHITAKER"" VIA GUERRAZZI F.SCO DOMENICO N.1",1010,38.5148514851
134,396,"SCUOLA PRIMARIA ""GABELLI"" VIA EUGENIO L'EMIRO N.30",1029,38.4839650146
538,372,"SCUOLA PRIMARIA ""SALGARI"" VIA PARATORE GIUSEPPE N.34",967,38.4694932782
579,380,"SCUOLA SECOND.I GR.""LEONARDO DA VINCI"" VIA SERRADIFALCO N.190",988,38.4615384615
552,336,"SCUOLA SECOND.I GR.""TOMASI DI LAMPEDUSA"" VIALE LEONARDO DA VINCI N.504",874,38.4439359268
371,382,"SCUOLA PRIM.E DELL'INFANZ.""BONANNO"" VIA PITRE' GIUSEPPE N.183",998,38.2765531062
537,314,"SCUOLA PRIMARIA E DELL'INF.""IEVOLELLA"" VIA SERRADIFALCO N.3",822,38.199513382
269,318,"SCUOLA PRIMARIA ""ROSOLINO PILO"" VIA LA FRANCA SEBASTIANO N.70",835,38.0838323353
205,361,"SCUOLA PRIMARIA ""COLOZZA"" VIA IMERA N.32",949,38.0400421496
570,302,"SCUOLA PRIMARIA ""MEDAGLIE D'ORO"" VIA DEODATO PIER LUIGI N.7",794,38.0352644836
231,449,"SCUOLA PRIMARIA ""VILLAGRAZIA"" VIA VILLAGRAZIA N.298",1186,37.8583473862
30,371,"SCUOLA SECOND.I GR.""LEONARDO DA VINCI"" VIA SERRADIFALCO N.190",980,37.8571428571
311,380,"SCUOLA ELEMENTARE ""CASTROGIOVANNI"" VIA CRISTODULO AMMMIRAGLIO N.3",1005,37.8109452736
352,468,"SCUOLA PRIMARIA ""VILLAGRAZIA"" VIA VILLAGRAZIA N.298",1239,37.7723970944
356,381,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",1009,37.7601585728
329,378,"SCUOLA PRIMARIA ""NUOVO PAGLIARELLI"" VIA VILLANI GIOVANNI N.40",1003,37.6869391825
374,378,"SCUOLA PRIMARIA ""MANTEGNA"" VIA BOLOGNI N.4",1003,37.6869391825
343,366,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",972,37.6543209877
340,340,"SCUOLA SECOND.DI I GRADO ""MAZZINI"" VIA DE MARIA FEDERICO N.36",906,37.527593819
344,337,SCUOLA DELL'INFANZIA ZS 10 VIA PALAZZOTTO F.P. E G.B. N. 5,899,37.4860956618
189,395,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",1054,37.4762808349
54,333,"SCUOLA PRIMARIA ""CAVALLARI"" CORSO DEI MILLE N.793",889,37.4578177728
507,344,"SCUOLA PRIM.E DELL'INFANZ.""BONANNO"" VIA PITRE' GIUSEPPE N.183",919,37.4319912949
252,373,"SCUOLA PRIMARIA ""BERNINI"" VIA PAPALEO PIETRO N.8",998,37.374749499
127,446,"SCUOLA ELEMENTARE ""CASTROGIOVANNI"" VIA CRISTODULO AMMMIRAGLIO N.3",1195,37.3221757322
230,348,"SCUOLA PRIMARIA ""TOMASINO BARTOLOMEO"" VIA S.MARIA DI GESU' N.89",935,37.2192513369
424,326,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",876,37.2146118721
599,339,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.2 VIA BARISANO DA TRANI N.7",912,37.1710526316
74,388,"SCUOLA PRIMARIA ""MANTEGNA"" VIA BOLOGNI N.4",1044,37.1647509579
236,347,"SCUOLA SECOND.I GR.""LEONARDO DA VINCI"" VIA SERRADIFALCO N.190",934,37.1520342612
58,384,"SCUOLA PRIMARIA ""COLOZZA"" VIA IMERA N.32",1035,37.1014492754
458,390,"SCUOLA SECOND.I GRADO ""PIRANDELLO"" VIA DELL'USIGNOLO N.5",1055,36.9668246445
589,282,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",763,36.9593709043
319,367,"SCUOLA DELL'INFANZIA ""DIAZ VECCHIO"" VIA REGINA MARIA DI SICILIA N.7",993,36.9587109768
325,423,"SCUOLA PRIMARIA ""RANDAZZO"" VIA SPERONE N.79",1145,36.943231441
370,342,"SCUOLA PRIM.E DELL'INFANZ.""BONANNO"" VIA PITRE' GIUSEPPE N.183",926,36.9330453564
133,267,"SCUOLA PRIM.E DELL'INF.""BAVIERA"" VIA BAVIERA GIOVANNI N.22",723,36.9294605809
107,328,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.2 VIA BARISANO DA TRANI N.7",889,36.8953880765
489,398,"SCUOLA PRIMARIA ""BIXIO"" VIA CASSARO N.2",1085,36.6820276498
110,330,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",902,36.5853658537
481,347,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40",949,36.564805058
219,380,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",1041,36.5033621518
593,368,"SCUOLA PRIMARIA ""MEDAGLIE D'ORO"" VIA DEODATO PIER LUIGI N.7",1009,36.4717542121
193,339,"SCUOLA PRIMARIA ""NICOLO' TURRISI"" PZZA ORLANDO VITTORIO EMANUELE N.3",933,36.3344051447
438,324,"SCUOLA DELL'INFANZIA ""PALADINI"" PIAZZA CELLINI BENVENUTO N.4",892,36.3228699552
359,344,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",949,36.248682824
234,346,"SCUOLA PRIM.E DELL'INFANZ.""BONANNO"" VIA PITRE' GIUSEPPE N.183",955,36.2303664921
384,376,"SCUOLA DELL'INFANZIA ""JACK LONDON"" VIA LONDON JACK N.1/A",1039,36.1886429259
536,292,"SCUOLA PRIMARIA ""G. COSTA"" VIA UGHETTI GIOVANBATTISTA N.27",807,36.1833952912
559,376,"SCUOLA SEC. 1Â° GRADO ""SALEMI"" VIA SALEMI FRANCESCO GEN. N.22",1040,36.1538461538
347,479,"SCUOLA PRIMARIA ""BARONE DELLA SCALA"" BAGLIO BARONE DELLA SCALA N.22",1326,36.1236802413
450,349,"SCUOLA PRIMARIA ""VERGA"" VIA UDITORE N.21",967,36.0910031024
