sezione|votanti|ubicazione|numeroElettori
571|131|SCUOLA DELL'INFANZIA"PASS.DEI PICCIOTTI" PASSAGGIO DEI PICCIOTTI N.3|1044
572|83|SCUOLA PRIMARIA "FILIPPO RACITI" VIA ALIA N.16|1064
573|184|SCUOLA PRIMARIA "BORSELLINO" VIA GIOTTO N.41|924
574|190|SCUOLA PRIMARIA "PALAGONIA" VIA PRINCIPE DI PALAGONIA N.46|981
575|176|SCUOLA PRIMARIA E INFANZIA "M.GANDHI" VIA SARDEGNA N.55|937
576|195|DIREZIONE DIDATTICA "DE GASPERI" PIAZZA GIOVANNI PAOLO II PAPA N.24|858
577|159|SCUOLA PRIMARIA "GARZILLI" VIA ISONZO N.7|840
578|155|SCUOLA SECOND.I GR. "LEONARDO DA VINCI" VIA DI GIORGI FERDINANDO N.48|1096
579|121|SCUOLA SECOND.I GR."LEONARDO DA VINCI" VIA SERRADIFALCO N.190|988
580|101|SCUOLA PRIM. E DELL'INFANZ."L.SCIASCIA" VIA SMITH ADAMO N.19|1138
581|108|SCUOLA DELL'INFANZIA"MADRE TERESA DI C." VIA MAQUEDA N.53|1032
582|68|SCUOLA PRIMARIA E DELL'INF. "NUCCIO" VIA MONGITORE ANTONINO N.4|832
583|103|SCUOLA PRIMARIA "AMARI" VIA INGRASSIA GIAN FILIPPO N.33|818
584|159|SCUOLA ELEMENTARE "CASTROGIOVANNI" VIA CRISTODULO AMMMIRAGLIO N.3|1158
585|116|SCUOLA PRIMARIA "NATOLI" CORSO DEI MILLE N.1486|985
586|82|SCUOLA PRIMARIA "F.SCO ORESTANO" VIA S.CIRO N.48|899
587|123|SCUOLA PRIMARIA "BIXIO" VIA CASSARO N.2|1101
588|82|SCUOLA PRIMARIA "PADRE PUGLISI" VIA GIANNOTTA NICOLO' N.4|692
589|112|SCUOLA PRIMARIA "OBERDAN" VIA SPICA PIETRO N.5|763
590|113|SCUOLA PRIMARIA "F.P. PEREZ" PIAZZA PEREZ FRANCESCO PAOLO N.1|909
591|82|SCUOLA PRIMARIA "EX SCIASCIA" VIA MARCHESE NICOLO' PENSABENE N.34|917
592|96|SCUOLA PRIMARIA "BORGO ULIVIA" VIA ORTIGIA N.19|1091
593|129|SCUOLA PRIMARIA "MEDAGLIE D'ORO" VIA DEODATO PIER LUIGI N.7|1009
594|78|SCUOLA PRIMARIA "G. COSTA" VIA UGHETTI GIOVANBATTISTA N.27|957
595|137|SCUOLA PRIMARIA "VITALI" VIA INSERRA N.1|1196
596|74|SCUOLA SECOND.I GR."LEONARDO DA VINCI" VIA SERRADIFALCO N.190|779
597|119|SCUOLA SEC.I GR."PR.SSA ELENA DI NAPOLI" VIA USTICA N.46|1015
598|109|SCUOLA PRIMARIA "RIZZO" VIA SERGIO PAPA I N.21/D|844
599|101|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.2 VIA BARISANO DA TRANI N.7|912
600|168|SCUOLA PRIMARIA "SAN DOMENICO SAVIO" VIALE DELLA RESURREZIONE N.1|1103
