sezione|votanti|ubicazione|numeroElettori
178|171|SCUOLA PRIMARIA "ALMEJDA - PITRE'" VIA DAMIANI ALMEJDA N.27|1064
179|148|SC.SECOND.I GRADO "DEL FERVORE" VIA DEL FERVORE N.5|833
180|135|SCUOLA PRIMARIA "RAPISARDI" VIA CALTANISSETTA N.27|756
181|121|SCUOLA PRIMARIA "RAGUSA MOLETI" VIA RAGUSA MOLETI N.8|748
182|140|SCUOLA PRIMARIA "RAPISARDI" VIA CALTANISSETTA N.27|792
183|128|SCUOLA PRIMARIA "RAPISARDI" VIA CALTANISSETTA N.27|729
184|134|SCUOLA PRIMARIA "RAPISARDI" VIA CALTANISSETTA N.27|770
185|162|SCUOLA PRIMARIA "RAPISARDI" VIA CALTANISSETTA N.27|870
186|96|SCUOLA PRIMARIA "OBERDAN" VIA SPICA PIETRO N.5|788
187|123|SC.SECOND.I GRADO "DEL FERVORE" VIA DEL FERVORE N.5|820
188|95|SCUOLA PRIMARIA "BORGO ULIVIA" VIA ORTIGIA N.19|1020
189|151|SCUOLA PRIMARIA "BORGO ULIVIA" VIA ORTIGIA N.19|1054
190|138|SCUOLA PRIMARIA "NUOVO PAGLIARELLI" VIA VILLANI GIOVANNI N.40|1025
191|185|SCUOLA SECOND.I GRADO "GENTILI" VIA LO JACONO FRANCESCO N.1|943
192|194|SCUOLA SECOND.I GRADO "ARCHIMEDE" PIAZZA CASTELNUOVO N.40|1013
193|135|SCUOLA PRIMARIA "NICOLO' TURRISI" PZZA ORLANDO VITTORIO EMANUELE N.3|933
194|151|SCUOLA PRIMARIA "NICOLO' TURRISI" PZZA ORLANDO VITTORIO EMANUELE N.3|938
195|128|SCUOLA DELL'INFANZIA ZS 10 VIA PALAZZOTTO F.P. E G.B. N. 5|894
196|105|SCUOLA PRIMARIA E DELL'INF. "SALERNO" VIA SALERNO N.19|1069
197|124|SC.SECOND.I GRADO "DEL FERVORE" VIA DEL FERVORE N.5|831
198|133|SC.SECOND.I GRADO "DEL FERVORE" VIA DEL FERVORE N.5|841
199|114|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.1 VIA BARISANO DA TRANI N.7|920
200|153|SCUOLA PRIMARIA "VERGA" VIA UDITORE N.21|999
201|145|SCUOLA PRIMARIA "NICOLO' TURRISI" PZZA ORLANDO VITTORIO EMANUELE N.3|857
202|113|SCUOLA PRIMARIA "COLOZZA" VIA IMERA N.32|967
203|118|SCUOLA PRIMARIA "FILIPPO RACITI" VIA ALIA N.16|933
204|132|SCUOLA PRIM.E DELL'INF."CASTELLANA" VIA CASTELLANA N.40|943
205|115|SCUOLA PRIMARIA "COLOZZA" VIA IMERA N.32|949
206|114|SCUOLA PRIMARIA "COLOZZA" VIA IMERA N.32|1025
207|115|DIREZIONE DIDATTICA "CAPUANA" VIA NARBONE ALESSIO N.55|847
208|121|SCUOLA PRIMARIA "PALAGONIA" VIA PRINCIPE DI PALAGONIA N.46|913
209|141|SCUOLA PRIMARIA E INFANZIA "M.GANDHI" VIA SARDEGNA N.55|758
210|159|SCUOLA PRIMARIA "SAN LORENZO" VIA S.LORENZO N.89|958
211|90|SCUOLA PRIMARIA "COLOZZA" VIA IMERA N.32|946
212|180|SCUOLA DELL'INFANZIA "TOMASELLI" VIA ABRUZZI N.2|1016
213|137|SCUOLA PRIMARIA "COLLODI" VIA BRIUCCIA N.89|859
214|125|SCUOLA MATERNA COM.LE "WHITAKER" VIA GUERRAZZI F.SCO DOMENICO N.1|967
215|135|SCUOLA SEC. 1Â° GRADO "SALEMI" VIA SALEMI FRANCESCO GEN. N.22|1037
216|211|SCUOLA PRIMARIA "G.FAVA" VIA MONTE S.CALOGERO N.20|994
217|148|DIREZIONE DIDATTICA "CAPUANA" VIA NARBONE ALESSIO N.55|1023
218|219|SCUOLA PRIMARIA "MARVUGLIA" VIA RALLO ALBERTO N.9|1277
219|143|DIREZIONE DIDATTICA "CAPUANA" VIA NARBONE ALESSIO N.55|1041
220|108|DIREZIONE DIDATTICA "CAPUANA" VIA NARBONE ALESSIO N.55|921
221|91|DIREZIONE DIDATTICA "CAPUANA" VIA NARBONE ALESSIO N.55|853
222|120|SCUOLA PRIMARIA "MARVUGLIA" VIA RALLO ALBERTO N.9|988
223|72|SCUOLA PRIMARIA "ETTORE ARCULEO" VIA SCHIFANI VITO N.3|631
224|224|DIREZIONE DIDATTICA "CAPUANA" VIA NARBONE ALESSIO N.55|876
225|138|SCUOLA PRIMARIA "ROSOLINO PILO" VIA LA FRANCA SEBASTIANO N.70|925
226|118|DIREZIONE DIDATTICA "CAPUANA" VIA NARBONE ALESSIO N.55|881
227|86|SCUOLA PRIMARIA "MEDAGLIE D'ORO" VIA DEODATO PIER LUIGI N.7|891
228|116|SCUOLA PRIMARIA "MEDAGLIE D'ORO" VIA DEODATO PIER LUIGI N.7|1024
229|92|SCUOLA PRIMARIA "F.SCO ORESTANO" VIA S.CIRO N.48|984
230|80|SCUOLA PRIMARIA "TOMASINO BARTOLOMEO" VIA S.MARIA DI GESU' N.89|935
231|112|SCUOLA PRIMARIA "VILLAGRAZIA" VIA VILLAGRAZIA N.298|1186
232|81|SCUOLA PRIMARIA E DELL'INF."IEVOLELLA" VIA SERRADIFALCO N.3|879
233|138|SCUOLA PRIMARIA E DELL'INF."IEVOLELLA" VIA SERRADIFALCO N.3|885
234|92|SCUOLA PRIM.E DELL'INFANZ."BONANNO" VIA PITRE' GIUSEPPE N.183|955
235|75|SCUOLA PRIMARIA "SCIPIONE DI CASTRO" VIA DI CASTRO SCIPIONE N.22|704
236|131|SCUOLA SECOND.I GR."LEONARDO DA VINCI" VIA SERRADIFALCO N.190|934
237|184|SCUOLA PRIMARIA "GABELLI" VIA EUGENIO L'EMIRO N.30|1106
238|161|SCUOLA PRIMARIA "BORSELLINO" VIA GIOTTO N.41|838
239|131|SCUOLA MATERNA COM.LE "WHITAKER" VIA GUERRAZZI F.SCO DOMENICO N.1|1010
240|178|SCUOLA PRIMARIA "BORSELLINO" VIA GIOTTO N.41|919
241|64|SCUOLA PRIMARIA "SCIPIONE DI CASTRO" VIA DI CASTRO SCIPIONE N.22|872
242|70|SCUOLA PRIMARIA "SCIPIONE DI CASTRO" VIA DI CASTRO SCIPIONE N.22|857
243|122|SCUOLA PRIMARIA "IGNAZIO BUTTITTA" VIA CIMABUE GIOVANNI N.20|915
244|130|SCUOLA PRIMARIA "GABELLI" VIA EUGENIO L'EMIRO N.30|1104
245|75|SCUOLA PRIMARIA "SCIPIONE DI CASTRO" VIA DI CASTRO SCIPIONE N.22|828
246|77|SCUOLA PRIMARIA "SCIPIONE DI CASTRO" VIA DI CASTRO SCIPIONE N.22|863
247|71|SCUOLA PRIMARIA "LOMBARDO RADICE" CORSO CALATAFIMI N.241|884
